-- 0 --a:1  --b:24 ---
2:  2.1611%
3:  2.84872%
4:  3.53635%
5:  3.43811%
6:  3.33988%
7:  2.94695%
8:  2.06287%
9:  2.84872%
10:  2.94695%
11:  3.04519%
12:  3.53635%
13:  2.65226%
14:  3.04519%
15:  2.35756%
16:  2.55403%
17:  2.65226%
18:  3.24165%
19:  3.43811%
20:  3.14342%
21:  2.1611%
22:  2.75049%
23:  2.35756%
24:  2.94695%
25:  4.0275%
26:  3.53635%
27:  3.14342%
28:  3.43811%
29:  2.55403%
30:  2.65226%
31:  2.4558%
32:  2.94695%
33:  2.35756%
34:  3.04519%


-- 68 --a:1  --b:38 ---
28 1 3 14 11 26 13 2 18 26 16 9 20 25 27 7 35 21 1 37 21 9 4 25 4 3 30 5 16 34 14 1 33 15 27 12 34 9 15 20 29 24 22 17 31 15 3 26 30 24 14 20 1 32 18 34 11 7 1 11 23 23 7 36 35 20 12 17 6 3 16 12 9 36 10 10 30 15 3 3 4 18 10 18 19 22 24 23 5 35 33 26 32 15 11 26 12 18 5 24 15 6 19 9 23 25 18 16 28 27 27 20 22 25 29 10 23 33 36 31 17 1 7 30 21 14 20 22 21 6 20 35 11 19 20 23 16 17 32 7 17 31 24 20 34 16 8 31 37 33 19 28 10 36 32 25 10 14 37 13 37 24 13 32 34 37 32 28 26 6 26 19 6 36 1 18 3 8 18 19 27 31 21 20 29 29 11 9 32 19 13 35 17 15 10 28 30 1 27 5 31 7 33 14 16 19 33 19 7 16 32 4 19 31 12 27 37 3 10 34 6 18 4 30 33 26 7 11 34 13 16 18 8 10 32 7 16 28 31 32 23 22 29 28 22 26 32 17 16 1 16 20 11 17 24 28 20 15 10 8 25 27 24 24 9 7 3 16 3 29 28 24 26 13 35 31 16 31 19 22 16 9 37 33 9 13 34 7 33 12 35 17 34 37 4 8 11 29 10 13 23 31 25 28 16 19 18 15 21 12 7 19 2 20 4 19 24 5 33 14 3 20 17 7 29 36 27 15 24 23 28 34 12 35 26 23 29 8 10 16 2 4 24 29 3 30 13 7 27 2 2 12 10 3 5 16 5 24 25 7 26 34 31 22 13 27 33 7 6 4 30 36 15 18 17 23 8 10 6 11 30 4 13 9 20 13 26 27 25 7 24 10 25 18 1 7 16 25 10 15 26 6 25 35 30 34 37 15 2 15 37 37 24 12 9 21 7 35 11 18 36 10 14 30 29 6 1 13 5 17 15 6 23 37 2 24 35 23 36 23 37 25 23 37 32 30 31 18 30 21 35 15 10 3 16 14 14 6 20 12 12 17 11 15 8 36 27 9 19 34 21 11 34 32 10 4 18 1 19 17 13 16 15 24 30 35 28 35 35 2 3 28 34 15 19 6 6 8 12 3 8 31 36 12 20 26 9 33 31 32 29 32 34 31 27 2 19 34 25 16 27 17 27 11 26 32 29 31 18 26 11 25 7 20 5 9 33 35 37 8 17 37 1 35 10 29 11 16 12 23 18 4 33 3 6 27 27 15 6 31 10 3 35 9 30 18 11 4 37 36 15 14 12 7 23 30 36 3 22 31 36 4 10 17 25 13 3 16 13 12 6 35 21 10 31 29 32 11 5 21 35 31 15 15 22 16 11 18 6 4 4 21 35 8 26 9 18 14 29 22 12 30 35 26 30 23 35 1 22 4 6 20 5 37 19 29 5 24 21 34 16 12 4 24 18 9 26 5 17 16 27 22 2 3 27 13 2 3 5 3 7 33 22 26 28 17 2 35 32 11 24 10 27 18 19 25 31 3 2 14 14 19 10 7 6 28 26 4 21 7 2 11 32 2 31 9 17 36 26 11 14 32 33 20 29 36 10 7 9 35 6 1 37 25 32 26 1 34 33 37 3 15 23 21 5 8 3 5 13 35 7 5 3 8 36 20 2 25 11 7 35 17 33 21 36 29 20 17 33 30 16 37 6 1 13 24 11 1 16 14 1 12 21 23 7 28 7 13 10 16 27 8 1 5 22 7 10 35 24 1 5 16 2 35 14 1 37 25 37 20 24 7 24 1 13 26 11 17 34 24 20 25 13 15 26 36 36 10 21 10 33 34 30 29 7 13 28 3 37 16 28 3 31 25 31 37 36 3 8 30 15 13 18 25 6 32 1 14 10 29 15 21 5 8 21 11 27 11 16 4 18 11 2 32 24 11 26 20 28 14 8 35 34 21 11 6 16 28 8 20 17 30 27 18 16 18 14 20 23 33 21 4 18 12 18 37 3 2 1 34 34 21 2 17 10 24 20 1 7 24 30 3 17 27 22 20 13 37 21 29 13 37 30 18 7 18 23 33 31 5 25 37 26 20 35 13 6 26 13 28 14 12 3 13 20 28 13 24 36 18 34 8 28 37 10 26 17 35 8 19 29 14 9 23 6 10 20 22 29 16 7 9 22 26 2 11 20 6 22 22 36 13 37 25 34 31 36 1 21 6 19 24 8 22 25 9 23 12 1 17 2 10 1 7 16 20 16 29 16 29 24 25 33 9 16 23 32 2 1 30 11 36 1 24 3 21 8 32 27 19 12 18 4 27 12 1:  3.02439%
2:  2.2439%
3:  3.31707%
4:  2.14634%
5:  2.04878%
6:  2.73171%
7:  3.5122%
8:  2.2439%
9:  2.2439%
10:  3.41463%
11:  3.12195%
12:  2.43902%
13:  3.02439%
14:  2.14634%
15:  2.63415%
16:  3.90244%
17:  2.73171%
18:  3.21951%
19:  2.34146%
20:  3.31707%
21:  2.53659%
22:  2.04878%
23:  2.43902%
24:  3.21951%
25:  2.63415%
26:  3.02439%
27:  2.63415%
28:  2.2439%
29:  2.53659%
30:  2.43902%
31:  2.63415%
32:  2.43902%
33:  2.2439%
34:  2.53659%
35:  3.12195%
36:  2.43902%
37:  3.02439%


-- 69 --a:1  --b:38 ---
9 24 32 30 20 1 12 13 8 4 21 37 8 7 4 33 29 21 7 23 4 20 30 10 3 31 36 6 10 21 6 28 18 8 12 37 19 20 30 23 25 32 7 30 11 9 9 2 5 12 33 21 16 19 29 28 28 31 29 20 11 23 2 25 32 2 18 19 22 5 29 19 25 19 25 22 4 23 5 20 11 29 2 8 30 6 1 12 21 18 13 5 20 36 23 6 16 20 17 13 15 31 25 28 11 25 34 5 35 21 11 15 5 34 12 8 36 28 35 34 18 4 26 33 12 4 27 25 26 9 21 35 9 5 28 34 28 4 22 18 37 29 8 20 26 7 10 13 14 14 17 5 32 2 26 34 25 12 22 1 28 8 19 1 35 21 4 21 1 29 6 6 34 32 22 37 4 25 37 15 14 34 31 15 6 33 10 7 30 24 31 10 10 29 13 21 24 27 6 33 12 12 28 28 33 2 26 1 35 22 7 28 26 3 37 8 37 10 29 24 15 5 35 33 21 1 29 1 12 11 8 8 36 31 14 10 19 33 22 28 33 29 20 23 24 27 33 32 28 24 20 8 1 28 21 9 19 29 32 19 10 14 37 18 31 10 23 9 35 10 29 16 10 35 33 32 5 6 14 31 11 19 22 19 30 17 16 11 17 2 22 34 11 9 1 29 4 1 22 14 34 31 25 2 1 2 10 1 35 18 2 35 4 37 30 37 29 37 29 33 5 9 34 19 36 10 18 3 16 14 28 11 14 35 22 8 12 2 5 1 11 1 26 10 6 18 24 8 18 15 36 1 22 3 22 21 3 36 18 14 17 2 16 24 25 37 19 26 8 22 37 10 11 18 1 15 12 34 31 35 17 22 27 18 21 30 6 7 27 18 30 37 36 31 19 24 11 25 36 15 12 7 32 19 5 7 24 13 9 35 35 23 34 18 25 21 21 8 2 21 9 17 24 20 15 8 22 21 9 9 9 17 22 15 17 4 20 15 30 37 24 16 2 14 20 34 32 33 35 18 14 31 27 24 34 37 18 9 32 20 2 5 5 26 27 30 19 16 11 6 28 24 31 7 21 18 7 32 29 33 18 30 29 3 22 35 4 34 9 20 32 21 11 26 27 17 2 29 8 33 6 29 36 18 3 18 19 26 15 2 4 15 17 34 3 25 25 31 8 14 6 1 37 20 16 7 5 22 12 36 13 11 19 15 2 26 12 10 9 15 31 23 28 30 7 19 4 6 22 37 2 6 25 36 14 33 2 16 5 30 30 4 6 15 16 8 20 25 23 34 11 13 11 2 26 28 20 23 15 15 27 28 3 19 10 14 27 22 26 4 34 1 24 37 37 28 12 25 1 19 3 12 32 24 18 1 16 33 33 33 36 20 37 20 36 3 33 25 17 12 37 28 14 30 13 23 28 18 11 33 17 2 36 34 16 3 24 2 32 25 32 25 22 15 17 23 28 1 3 14 11 26 13 2 18 26 16 9 20 25 27 7 35 21 1 37 21 9 4 25 4 3 30 5 16 34 14 1 33 15 27 12 34 9 15 20 29 24 22 17 31 15 3 26 30 24 14 20 1 32 18 34 11 7 1 11 23 23 7 36 35 20 12 17 6 3 16 12 9 36 10 10 30 15 3 3 4 18 10 18 19 22 24 23 5 35 33 26 32 15 11 26 12 18 5 24 15 6 19 9 23 25 18 16 28 27 27 20 22 25 29 10 23 33 36 31 17 1 7 30 21 14 20 22 21 6 20 35 11 19 20 23 16 17 32 7 17 31 24 20 34 16 8 31 37 33 19 28 10 36 32 25 10 14 37 13 37 24 13 32 34 37 32 28 26 6 26 19 6 36 1 18 3 8 18 19 27 31 21 20 29 29 11 9 32 19 13 35 17 15 10 28 30 1 27 5 31 7 33 14 16 19 33 19 7 16 32 4 19 31 12 27 37 3 10 34 6 18 4 30 33 26 7 11 34 13 16 18 8 10 32 7 16 28 31 32 23 22 29 28 22 26 32 17 16 1 16 20 11 17 24 28 20 15 10 8 25 27 24 24 9 7 3 16 3 29 28 24 26 13 35 31 16 31 19 22 16 9 37 33 9 13 34 7 33 12 35 17 34 37 4 8 11 29 10 13 23 31 25 28 16 19 18 15 21 12 7 19 2 20 4 19 24 5 33 14 3 20 17 7 29 36 27 15 24 23 28 34 12 35 26 23 29 8 10 16 2 4 24 29 3 30 13 7 27 2 2 12 10 3 5 16 5 24 25 7 26 34 31 22 13 27 33 7 6 4 30 36 15 18 17 23 8 10 6 11 30 4 13 9 20 13 26 27 25 7 24 10 25 18 1 7 16 25 10 15 1:  2.96367%
2:  2.67686%
3:  2.39006%
4:  2.58126%
5:  2.29446%
6:  2.39006%
7:  2.96367%
8:  2.48566%
9:  2.58126%
10:  3.25048%
11:  2.77247%
12:  2.58126%
13:  2.00765%
14:  2.19885%
15:  2.96367%
16:  3.05927%
17:  2.39006%
18:  3.44168%
19:  3.34608%
20:  3.34608%
21:  2.48566%
22:  2.86807%
23:  2.29446%
24:  3.05927%
25:  3.05927%
26:  2.58126%
27:  2.10325%
28:  3.15488%
29:  2.86807%
30:  2.48566%
31:  2.58126%
32:  2.58126%
33:  3.05927%
34:  2.86807%
35:  2.29446%
36:  2.10325%
37:  2.86807%


-- 70 --a:1  --b:32 ---
23 22 14 19 3 14 8 31 24 24 12 14 18 8 20 20 20 8 27 26 17 10 18 8 13 2 20 16 6 13 20 29 12 19 16 25 18 24 30 13 26 12 27 19 20 31 8 6 5 4 31 19 19 24 27 11 1 11 23 20 13 7 25 20 12 29 13 15 8 30 16 20 6 7 15 4 25 17 6 22 15 9 26 9 5 20 20 20 2 16 10 31 17 9 6 12 11 18 13 5 3 21 1 24 8 8 7 29 7 25 6 18 24 6 5 7 31 4 4 2 9 22 27 8 9 26 27 7 23 15 19 13 1 31 26 30 3 26 7 4 2 31 10 20 21 21 20 7 3 2 26 23 19 15 5 28 17 20 19 4 4 10 3 5 2 5 28 7 16 27 25 21 27 19 20 25 2 21 19 6 22 17 13 7 3 10 25 26 9 7 23 26 29 21 28 7 18 16 20 20 7 19 27 20 14 25 12 26 13 4 23 21 7 11 10 4 14 8 4 16 25 20 13 25 12 6 7 29 14 27 4 1 26 27 13 8 13 24 9 6 29 1 25 6 20 7 26 14 1 2 2 23 8 22 18 13 24 12 6 18 28 13 18 10 29 16 7 9 18 9 26 6 21 23 9 17 19 8 20 4 13 21 2 24 24 20 24 15 19 27 10 27 28 8 9 24 13 18 9 21 17 15 8 20 13 3 17 10 30 24 11 15 25 12 30 5 5 31 25 14 20 23 20 29 15 19 10 16 1 10 20 4 12 29 5 5 11 19 13 6 29 12 19 31 11 13 18 4 17 20 5 25 11 29 18 14 2 23 5 6 10 12 4 5 20 26 31 18 2 3 9 19 10 23 9 14 19 28 4 26 9 12 6 26 23 24 3 14 2 25 8 7 19 5 16 7 7 21 9 7 3 17 27 3 21 12 2 10 14 28 23 15 9 30 1 1 28 24 27 6 29 21 15 24 24 31 3 28 15 8 28 13 19 2 14 8 2 7 13 26 8 20 6 17 2 27 29 29 26 13 20 21 12 8 31 16 14 15 3 15 25 16 6 18 3 29 6 22 22 1 7 24 6 6 3 13 1 13 14 19 24 12 30 1 13 30 17 15 13 19 7 18 31 12 21 22 10 24 23 9 29 21 6 3 6 3 7 5 31 12 6 5 3 29 26 12 14 5 26 10 22 14 8 24 1 12 24 6 7 26 20 13 29 4 7 15 2 21 5 12 17 10 3 6 4 29 9 22 11 14 15 4 21 10 2 30 27 5 30 28 19 25 2 17 27 10 19 18 11 29 21 30 10 19 25 13 27 9 1 31 5 28 20 15 4 20 13 14 12 1 31 6 24 2 17 13 1 23 16 2 23 23 24 27 12 4 11 1 17 2 2 9 10 10 17 30 7 3 1 3 2 27 20 7 2 31 7 5 24 10 17 24 26 7 30 19 31 16 17 15 14 31 3 20 10 10 30 31 3 27 13 20 10 18 9 9 10 17 25 18 28 22 14 3 11 3 28 28 11 28 13 20 29 27 5 11 19 23 23 24 11 29 4 5 6 21 27 26 3 4 27 30 14 9 7 1 17 22 8 10 28 6 14 8 12 26 22 31 16 8 25 1 3 2 2 31 23 19 29 16 7 25 1 14 27 27 22 29 16 19 27 30 28 3 17 3 1 23 7 22 13 15 12 1 20 12 30 11 11 16 11 12 24 25 21 20 17 22 11 31 31 2 3 15 29 23 19 21 1 10 14 29 31 19 6 26 25 28 15 8 12 30 14 27 24 7 1 5 16 18 17 7 7 13 20 28 4 20 24 24 25 28 12 29 6 8 10 20 27 17 28 9 12 14 5 20 4 6 28 15 15 30 11 2 4 4 20 5 14 1 16 22 2 15 1 19 12 5 2 15 16 21 21 4 13 9 11 20 26 29 4 18 25 15 17 12 4 3 1 28 2 12 29 25 5 6 12 21 16 30 25 31 6 7 7 10 20 17 19 11 15 15 29 30 6 2 20 18 25 11 9 28 22 29 30 23 23 27 6 9 15 14 15 30 23 24 13 2 11 30 16 26 2 15 8 6 12 28 23 28 13 2 27 24 10 17 8 12 2 24 24 4 10 10 13 6 9 21 26 11 1 7 31 24 10 3 18 16 30 18 24 8 24 5 20 8 14 12 23 20 1 16 21 22 21 9 11 21 22 6 1 27 6 25 19 2 21 26 14 31 21 6 21 29 15 7 5 1 24 6 14 12 30 27 30 30 23 12 2 12 18 9 17 25 14 5 21 6 30 4 25 15 17 27 12 27 1 3 25 29 23 28 1:  3.22896%
2:  3.91389%
3:  3.22896%
4:  3.13112%
5:  3.13112%
6:  4.30528%
7:  4.01174%
8:  2.93542%
9:  3.03327%
10:  3.42466%
11:  2.54403%
12:  4.01174%
13:  3.7182%
14:  3.22896%
15:  3.32681%
16:  2.44618%
17:  2.93542%
18:  2.44618%
19:  3.32681%
20:  4.89237%
21:  3.22896%
22:  1.95695%
23:  2.83757%
24:  3.81605%
25:  3.13112%
26:  2.83757%
27:  3.42466%
28:  2.73973%
29:  3.22896%
30:  2.83757%
31:  2.73973%


-- 71 --a:1  --b:39 ---
19 34 3 5 9 12 9 7 5 29 37 3 16 7 13 25 9 23 14 13 9 1 34 33 23 12 16 36 18 13 29 34 5 33 9 32 10 14 38 21 35 33 30 36 35 13 32 3 10 21 14 14 17 10 37 36 16 22 25 10 25 28 24 12 16 8 6 26 5 11 4 38 34 25 4 5 31 36 25 23 35 25 32 6 24 8 35 21 20 33 33 35 22 7 15 22 11 1 38 34 24 38 4 32 18 3 25 35 19 24 26 8 19 22 24 3 29 23 17 3 21 18 5 24 2 6 23 33 8 27 30 1 20 13 35 37 32 12 38 36 18 28 23 18 32 34 25 27 2 34 35 12 17 18 9 33 27 10 28 13 33 17 12 13 6 33 7 16 32 11 8 22 33 16 32 33 13 4 1 11 7 5 28 21 5 14 20 1 6 36 15 5 23 15 33 9 31 6 21 33 14 26 38 2 35 33 7 30 19 2 33 19 2 13 34 11 8 30 22 15 13 14 22 6 35 13 20 7 18 35 29 34 20 24 31 21 11 33 30 13 17 30 24 21 20 27 29 30 4 14 27 2 16 8 36 25 4 30 5 23 11 11 36 20 7 16 30 20 4 6 27 2 31 8 25 11 23 14 21 36 35 15 14 32 11 9 38 31 15 19 7 32 15 9 20 35 37 31 8 4 31 14 19 25 28 31 32 22 25 21 26 9 14 5 14 33 10 34 21 25 38 1 9 6 33 29 30 19 17 24 3 29 14 15 6 38 12 19 6 36 37 36 38 27 10 16 20 3 34 27 33 9 9 1 1 27 19 13 19 3 23 8 17 5 17 25 30 5 37 27 32 23 34 8 27 14 32 27 7 15 22 20 6 35 14 36 8 17 22 6 15 31 32 2 11 5 36 17 15 34 21 4 2 12 2 15 29 14 2 6 15 24 27 17 6 23 29 24 16 16 2 15 7 38 15 3 37 5 31 19 23 12 1 16 36 21 11 21 37 21 31 7 3 24 34 21 11 25 15 19 30 32 18 8 7 29 23 15 9 25 17 31 35 37 28 10 12 28 36 21 27 19 14 12 36 32 31 9 20 20 8 9 19 3 15 19 27 5 31 37 12 37 11 24 37 12 18 33 29 34 12 35 32 2 30 21 31 20 15 17 22 31 6 38 9 30 19 27 4 6 26 36 35 6 21 2 28 24 20 37 32 13 30 24 23 14 26 27 4 31 17 8 12 34 26 24 34 13 31 1 8 15 11 17 11 14 33 17 10 22 7 32 33 27 29 30 33 4 12 25 26 21 12 8 19 10 7 24 37 5 7 32 9 2 15 20 9 5 26 9 38 9 13 34 1 37 2 37 5 18 36 28 24 27 23 13 28 9 14 4 36 35 8 12 9 6 30 31 38 16 1 26 5 20 38 33 20 10 22 37 17 4 2 31 24 20 29 14 19 8 26 20 1 13 29 36 16 22 16 5 28 7 18 26 36 4 37 1 13 27 25 27 15 37 6 2 3 32 35 13 25 27 9 1 20 17 37 25 2 32 4 29 17 8 4 7 27 5 15 4 32 5 6 37 9 30 35 34 32 12 8 13 12 6 37 29 21 28 36 19 7 25 13 21 15 15 33 38 9 24 12 25 24 16 38 16 2 13 16 34 37 35 26 4 9 31 30 34 7 30 29 28 5 30 17 12 4 1 36 24 10 8 31 4 12 8 24 10 16 37 23 22 32 37 1 5 18 6 17 29 30 34 8 8 30 30 30 7 36 20 9 10 26 21 13 33 30 21 6 29 5 2 29 26 22 32 20 19 14 13 2 25 36 13 29 15 36 13 21 9 17 3 35 31 29 14 16 10 34 17 23 15 31 27 2 2 30 12 38 28 29 32 1 37 23 35 32 25 27 32 7 36 31 36 9 7 2 25 32 26 23 19 31 30 13 18 8 22 20 7 4 10 3 12 26 17 34 19 30 35 4 33 13 24 15 27 38 35 30 30 36 5 28 17 3 13 38 11 2 1 3 10 17 10 21 12 6 28 3 26 21 26 4 20 6 16 24 21 34 2 12 20 18 18 38 24 28 31 37 13 21 22 38 36 17 24 27 13 28 25 30 37 1 35 29 10 36 10 21 35 12 6 14 28 5 31 12 3 9 22 1 36 20 8 23 23 22 8 15 25 30 32 10 28 13 4 22 9 34 9 19 25 20 4 36 38 6 12 27 13 12 21 31 13 10 29 14 11 2 7 10 15 35 38 9 35 1 21 8 35 12 15 36 15 29 36 24 11 12 24 9 19 17 19 1:  2.16963%
2:  2.76134%
3:  1.87377%
4:  2.5641%
5:  2.76134%
6:  2.76134%
7:  2.46548%
8:  2.85996%
9:  3.45168%
10:  2.26824%
11:  1.87377%
12:  3.25444%
13:  3.45168%
14:  2.5641%
15:  3.15582%
16:  2.07101%
17:  2.76134%
18:  1.47929%
19:  2.5641%
20:  2.76134%
21:  3.15582%
22:  2.07101%
23:  2.16963%
24:  2.85996%
25:  2.76134%
26:  1.87377%
27:  2.76134%
28:  1.97239%
29:  2.5641%
30:  3.25444%
31:  2.85996%
32:  3.0572%
33:  2.66272%
34:  2.5641%
35:  2.95858%
36:  3.45168%
37:  2.76134%
38:  2.36686%


-- 72 --a:1  --b:38 ---
28 7 13 10 16 27 8 1 5 22 7 10 35 24 1 5 16 2 35 14 1 37 25 37 20 24 7 24 1 13 26 11 17 34 24 20 25 13 15 26 36 36 10 21 10 33 34 30 29 7 13 28 3 37 16 28 3 31 25 31 37 36 3 8 30 15 13 18 25 6 32 1 14 10 29 15 21 5 8 21 11 27 11 16 4 18 11 2 32 24 11 26 20 28 14 8 35 34 21 11 6 16 28 8 20 17 30 27 18 16 18 14 20 23 33 21 4 18 12 18 37 3 2 1 34 34 21 2 17 10 24 20 1 7 24 30 3 17 27 22 20 13 37 21 29 13 37 30 18 7 18 23 33 31 5 25 37 26 20 35 13 6 26 13 28 14 12 3 13 20 28 13 24 36 18 34 8 28 37 10 26 17 35 8 19 29 14 9 23 6 10 20 22 29 16 7 9 22 26 2 11 20 6 22 22 36 13 37 25 34 31 36 1 21 6 19 24 8 22 25 9 23 12 1 17 2 10 1 7 16 20 16 29 16 29 24 25 33 9 16 23 32 2 1 30 11 36 1 24 3 21 8 32 27 19 12 18 4 27 12 9 24 32 30 20 1 12 13 8 4 21 37 8 7 4 33 29 21 7 23 4 20 30 10 3 31 36 6 10 21 6 28 18 8 12 37 19 20 30 23 25 32 7 30 11 9 9 2 5 12 33 21 16 19 29 28 28 31 29 20 11 23 2 25 32 2 18 19 22 5 29 19 25 19 25 22 4 23 5 20 11 29 2 8 30 6 1 12 21 18 13 5 20 36 23 6 16 20 17 13 15 31 25 28 11 25 34 5 35 21 11 15 5 34 12 8 36 28 35 34 18 4 26 33 12 4 27 25 26 9 21 35 9 5 28 34 28 4 22 18 37 29 8 20 26 7 10 13 14 14 17 5 32 2 26 34 25 12 22 1 28 8 19 1 35 21 4 21 1 29 6 6 34 32 22 37 4 25 37 15 14 34 31 15 6 33 10 7 30 24 31 10 10 29 13 21 24 27 6 33 12 12 28 28 33 2 26 1 35 22 7 28 26 3 37 8 37 10 29 24 15 5 35 33 21 1 29 1 12 11 8 8 36 31 14 10 19 33 22 28 33 29 20 23 24 27 33 32 28 24 20 8 1 28 21 9 19 29 32 19 10 14 37 18 31 10 23 9 35 10 29 16 10 35 33 32 5 6 14 31 11 19 22 19 30 17 16 11 17 2 22 34 11 9 1 29 4 1 22 14 34 31 25 2 1 2 10 1 35 18 2 35 4 37 30 37 29 37 29 33 5 9 34 19 36 10 18 3 16 14 28 11 14 35 22 8 12 2 5 1 11 1 26 10 6 18 24 8 18 15 36 1 22 3 22 21 3 36 18 14 17 2 16 24 25 37 19 26 8 22 37 10 11 18 1 15 12 34 31 35 17 22 27 18 21 30 6 7 27 18 30 37 36 31 19 24 11 25 36 15 12 7 32 19 5 7 24 13 9 35 35 23 34 18 25 21 21 8 2 21 9 17 24 20 15 8 22 21 9 9 9 17 22 15 17 4 20 15 30 37 24 16 2 14 20 34 32 33 35 18 14 31 27 24 34 37 18 9 32 20 2 5 5 26 27 30 19 16 11 6 28 24 31 7 21 18 7 32 29 33 18 30 29 3 22 35 4 34 9 20 32 21 11 26 27 17 2 29 8 33 6 29 36 18 3 18 19 26 15 2 4 15 17 34 3 25 25 31 8 14 6 1 37 20 16 7 5 22 12 36 13 11 19 15 2 26 12 10 9 15 31 23 28 30 7 19 4 6 22 37 2 6 25 36 14 33 2 16 5 30 30 4 6 15 16 8 20 25 23 34 11 13 11 2 26 28 20 23 15 15 27 28 3 19 10 14 27 22 26 4 34 1 24 37 37 28 12 25 1 19 3 12 32 24 18 1 16 33 33 33 36 20 37 20 36 3 33 25 17 12 37 28 14 30 13 23 28 18 11 33 17 2 36 34 16 3 24 2 32 25 32 25 22 15 17 23 28 1 3 14 11 26 13 2 18 26 16 9 20 25 27 7 35 21 1 37 21 9 4 25 4 3 30 5 16 34 14 1 33 15 27 12 34 9 15 20 29 24 22 17 31 15 3 26 30 24 14 20 1 32 18 34 11 7 1 11 23 23 7 36 35 20 12 17 6 3 16 12 9 36 10 10 30 15 3 3 4 18 10 18 19 22 24 23 5 35 33 26 32 15 11 26 12 18 5 24 15 6 19 9 23 25 18 16 28 27 27 20 22 25 29 10 23 33 36 31 17 1 7 30 21 14 20 22 21 6 20 35 11 19 20 23 16 17 1:  3.73563%
2:  2.96935%
3:  2.39464%
4:  2.20307%
5:  2.29885%
6:  2.49042%
7:  2.39464%
8:  2.68199%
9:  2.49042%
10:  2.96935%
11:  3.06513%
12:  2.58621%
13:  2.10728%
14:  2.49042%
15:  2.68199%
16:  2.77778%
17:  2.29885%
18:  3.73563%
19:  2.58621%
20:  3.83142%
21:  3.16092%
22:  3.16092%
23:  2.29885%
24:  3.06513%
25:  3.16092%
26:  2.49042%
27:  1.91571%
28:  3.06513%
29:  2.77778%
30:  2.58621%
31:  2.01149%
32:  2.10728%
33:  2.68199%
34:  2.77778%
35:  2.39464%
36:  2.39464%
37:  3.16092%


-- 73 --a:1  --b:39 ---
